CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,Churn,TotalCharges,AvgCharge
74,Male,1,54,116.23,Two year,Mailed check,1,6276.42,116.23
75,Female,1,6,45.62,One year,Credit card,0,273.72,45.620000000000005
76,Female,0,14,103.58,One year,Credit card,0,1450.12,103.58
77,Female,0,4,80.77,One year,Credit card,0,323.08,80.77
78,Male,1,55,118.15,Month-to-month,Electronic check,0,6498.25,118.15
79,Female,1,34,114.63,Month-to-month,Mailed check,0,3897.42,114.63
80,Male,0,27,117.3,Month-to-month,Bank transfer,0,3167.1,117.3
81,Female,1,7,115.18,Month-to-month,Bank transfer,0,806.26,115.17999999999999
82,Male,1,3,20.77,Two year,Electronic check,0,62.31,20.77
83,Female,1,47,94.11,One year,Mailed check,0,4423.17,94.11
84,Male,1,2,47.19,One year,Bank transfer,0,94.38,47.19
85,Male,0,25,90.5,Month-to-month,Bank transfer,0,2262.5,90.5
86,Female,0,60,118.06,One year,Electronic check,0,7083.6,118.06
87,Male,0,24,23.94,One year,Credit card,0,574.56,23.939999999999998
88,Female,0,15,76.7,Month-to-month,Bank transfer,0,1150.5,76.7
89,Female,0,14,93.5,Month-to-month,Electronic check,0,1309.0,93.5
90,Female,0,54,45.34,Month-to-month,Bank transfer,0,2448.36,45.34
91,Female,1,6,42.51,Month-to-month,Bank transfer,0,255.06,42.51
92,Female,0,18,26.03,Two year,Electronic check,0,468.54,26.03
93,Female,1,20,29.39,One year,Electronic check,1,587.8,29.389999999999997
94,Female,1,62,85.67,Two year,Mailed check,1,5311.54,85.67
95,Female,1,40,70.52,One year,Bank transfer,0,2820.8,70.52000000000001
96,Female,0,39,23.01,Two year,Credit card,0,897.39,23.009999999999998
97,Female,1,52,116.97,Month-to-month,Credit card,0,6082.44,116.97
98,Female,0,32,85.6,Two year,Mailed check,0,2739.2,85.6
99,Male,1,27,71.55,Month-to-month,Mailed check,0,1931.85,71.55
100,Male,1,52,47.27,Month-to-month,Electronic check,0,2458.04,47.269999999999996
101,Female,0,63,85.81,Two year,Credit card,0,5406.03,85.81
102,Female,1,63,56.42,One year,Bank transfer,1,3554.46,56.42
103,Female,1,17,90.25,Two year,Electronic check,1,1534.25,90.25
104,Female,1,49,88.26,Month-to-month,Bank transfer,1,4324.74,88.25999999999999
105,Female,1,23,29.27,Month-to-month,Credit card,0,673.21,29.270000000000003
106,Female,0,13,110.93,One year,Electronic check,1,1442.09,110.92999999999999
107,Female,1,23,68.7,One year,Bank transfer,0,1580.1,68.7
108,Female,1,57,59.29,One year,Mailed check,0,3379.53,59.290000000000006
109,Male,0,62,115.55,Month-to-month,Bank transfer,1,7164.1,115.55000000000001
110,Female,1,54,63.82,Two year,Bank transfer,1,3446.28,63.82
111,Male,1,20,92.12,One year,Electronic check,0,1842.4,92.12
112,Female,1,52,85.51,Month-to-month,Credit card,0,4446.52,85.51
113,Female,1,23,36.51,Two year,Bank transfer,0,839.73,36.51
114,Male,0,35,119.11,One year,Bank transfer,0,4168.85,119.11000000000001
115,Female,1,67,66.36,Two year,Bank transfer,1,4446.12,66.36
116,Male,0,34,59.48,Two year,Bank transfer,0,2022.32,59.48
117,Female,1,33,111.96,Month-to-month,Mailed check,0,3694.68,111.96
118,Female,1,46,72.92,Month-to-month,Credit card,0,3354.32,72.92
119,Male,1,45,90.51,Month-to-month,Credit card,0,4072.95,90.50999999999999
120,Female,0,19,104.62,Two year,Electronic check,1,1987.78,104.62
121,Male,1,15,43.55,One year,Bank transfer,0,653.25,43.55
122,Female,1,66,36.95,One year,Electronic check,0,2438.7,36.949999999999996
123,Male,0,39,26.85,One year,Mailed check,1,1047.15,26.85
124,Male,0,18,109.71,Month-to-month,Mailed check,0,1974.78,109.71
125,Female,0,70,40.04,One year,Bank transfer,1,2802.8,40.04
126,Female,0,59,50.78,One year,Electronic check,1,2996.02,50.78
127,Male,1,32,48.58,Month-to-month,Electronic check,0,1554.56,48.58
128,Female,1,21,50.46,One year,Credit card,0,1059.66,50.46
129,Female,1,40,86.81,One year,Electronic check,0,3472.4,86.81
130,Female,1,27,115.41,One year,Mailed check,0,3116.07,115.41000000000001
131,Male,0,2,52.95,Two year,Mailed check,0,105.9,52.95
132,Male,1,39,60.76,Two year,Bank transfer,0,2369.64,60.76
133,Male,1,56,97.11,Month-to-month,Electronic check,0,5438.16,97.11
134,Male,1,13,63.23,Month-to-month,Electronic check,0,821.99,63.230000000000004
135,Male,1,56,112.6,Two year,Mailed check,0,6305.6,112.60000000000001
136,Male,0,66,70.32,Month-to-month,Bank transfer,0,4641.12,70.32
137,Male,1,56,54.77,Month-to-month,Credit card,0,3067.12,54.769999999999996
138,Male,1,28,117.16,One year,Credit card,0,3280.48,117.16
139,Male,1,64,62.58,Month-to-month,Bank transfer,0,4005.12,62.58
140,Female,0,71,43.12,Month-to-month,Bank transfer,1,3061.52,43.12
141,Male,0,64,37.77,One year,Credit card,0,2417.28,37.77
142,Female,1,56,119.52,One year,Mailed check,1,6693.12,119.52
143,Female,1,41,95.3,Two year,Electronic check,0,3907.3,95.30000000000001
144,Female,1,41,60.87,Month-to-month,Credit card,0,2495.67,60.870000000000005
145,Male,0,4,102.64,One year,Bank transfer,1,410.56,102.64
146,Male,1,57,74.68,Month-to-month,Bank transfer,0,4256.76,74.68
147,Male,1,30,51.74,Month-to-month,Electronic check,0,1552.2,51.74
148,Male,1,46,94.34,Two year,Bank transfer,0,4339.64,94.34
149,Female,0,56,94.59,Two year,Mailed check,0,5297.04,94.59
150,Male,1,31,70.02,Two year,Bank transfer,0,2170.62,70.02
151,Male,1,7,24.52,Two year,Electronic check,0,171.64,24.52
152,Male,0,54,27.7,Two year,Credit card,0,1495.8,27.7
153,Male,0,8,98.87,One year,Mailed check,1,790.96,98.87
154,Male,1,55,102.35,Two year,Bank transfer,1,5629.25,102.35
155,Female,0,69,87.83,One year,Electronic check,0,6060.27,87.83000000000001
156,Male,1,44,103.91,Two year,Credit card,1,4572.04,103.91
157,Female,0,13,91.95,One year,Credit card,0,1195.35,91.94999999999999
158,Male,0,20,109.69,Month-to-month,Electronic check,0,2193.8,109.69000000000001
159,Female,1,32,35.04,Two year,Credit card,1,1121.28,35.04
160,Male,1,60,58.77,One year,Credit card,0,3526.2,58.769999999999996
161,Male,1,50,66.41,Two year,Credit card,0,3320.5,66.41
162,Female,0,27,49.77,One year,Credit card,0,1343.79,49.769999999999996
163,Female,1,25,92.54,One year,Electronic check,0,2313.5,92.54
164,Female,1,52,111.24,Two year,Electronic check,0,5784.48,111.24
165,Male,1,68,61.25,One year,Bank transfer,1,4165.0,61.25
166,Female,1,21,114.15,Month-to-month,Bank transfer,0,2397.15,114.15
167,Male,1,18,71.68,Two year,Mailed check,0,1290.24,71.68
168,Male,0,39,72.25,Month-to-month,Credit card,0,2817.75,72.25
169,Female,1,15,80.02,One year,Credit card,1,1200.3,80.02
170,Female,1,53,46.83,One year,Mailed check,0,2481.99,46.83
171,Male,0,38,58.34,Two year,Electronic check,0,2216.92,58.34
172,Male,1,48,75.32,Month-to-month,Electronic check,1,3615.36,75.32000000000001
173,Female,1,52,114.2,Month-to-month,Mailed check,0,5938.4,114.19999999999999
174,Female,1,28,84.27,Two year,Bank transfer,0,2359.56,84.27
175,Female,1,16,53.31,Month-to-month,Bank transfer,0,852.96,53.31
176,Male,1,16,21.05,Two year,Credit card,0,336.8,21.05
177,Male,0,35,118.17,Two year,Bank transfer,0,4135.95,118.17
178,Male,0,17,69.3,One year,Electronic check,0,1178.1,69.3
179,Male,0,52,113.85,One year,Mailed check,0,5920.2,113.85
180,Male,1,12,74.93,Month-to-month,Mailed check,1,899.16,74.92999999999999
181,Male,0,48,80.55,Two year,Mailed check,0,3866.4,80.55
182,Female,1,22,91.19,Two year,Bank transfer,0,2006.18,91.19
183,Male,1,49,52.1,Two year,Mailed check,1,2552.9,52.1
184,Male,1,52,89.9,Two year,Mailed check,0,4674.8,89.9
185,Male,0,1,72.68,One year,Bank transfer,0,72.68,72.68
186,Female,0,66,87.25,Month-to-month,Electronic check,0,5758.5,87.25
187,Male,0,64,103.58,One year,Credit card,0,6629.12,103.58
188,Male,1,8,38.42,Two year,Electronic check,0,307.36,38.42
189,Female,0,25,81.36,Month-to-month,Bank transfer,0,2034.0,81.36
190,Male,1,66,25.21,Month-to-month,Mailed check,1,1663.86,25.209999999999997
191,Male,0,70,30.21,Two year,Credit card,0,2114.7,30.209999999999997
192,Male,0,51,87.46,Two year,Electronic check,0,4460.46,87.46
193,Male,1,53,27.09,One year,Credit card,0,1435.77,27.09
194,Male,1,15,79.54,One year,Electronic check,1,1193.1,79.53999999999999
195,Female,0,50,42.0,Two year,Electronic check,0,2100.0,42.0
196,Female,0,71,50.41,Two year,Bank transfer,1,3579.11,50.410000000000004
197,Female,0,38,32.96,One year,Electronic check,0,1252.48,32.96
198,Male,1,40,44.87,Month-to-month,Mailed check,0,1794.8,44.87
199,Male,1,66,102.13,Month-to-month,Bank transfer,0,6740.58,102.13
200,Male,0,39,83.89,Month-to-month,Credit card,0,3271.71,83.89
201,Female,0,17,114.98,One year,Bank transfer,0,1954.66,114.98
202,Male,1,7,24.87,Two year,Electronic check,0,174.09,24.87
203,Male,0,39,99.24,Month-to-month,Credit card,1,3870.36,99.24000000000001
204,Female,1,68,89.91,Two year,Mailed check,1,6113.88,89.91
205,Male,1,35,46.09,One year,Bank transfer,0,1613.15,46.09
206,Female,1,51,92.92,One year,Electronic check,1,4738.92,92.92
207,Female,1,47,91.65,Two year,Credit card,0,4307.55,91.65
208,Female,1,36,65.93,Two year,Mailed check,0,2373.48,65.93
209,Male,1,64,88.86,Two year,Mailed check,0,5687.04,88.86
210,Male,0,13,64.46,Two year,Bank transfer,0,837.98,64.46000000000001
211,Male,1,18,53.55,Month-to-month,Credit card,0,963.9,53.55
212,Male,1,21,66.65,Two year,Electronic check,0,1399.65,66.65
213,Male,0,65,109.51,Month-to-month,Credit card,1,7118.15,109.50999999999999
214,Male,1,8,58.46,One year,Mailed check,0,467.68,58.46
215,Male,0,48,60.37,Month-to-month,Credit card,1,2897.76,60.370000000000005
216,Female,1,43,80.84,Two year,Bank transfer,0,3476.12,80.84
217,Male,0,53,95.3,Month-to-month,Credit card,0,5050.9,95.3
218,Female,0,27,93.46,One year,Credit card,1,2523.42,93.46000000000001
219,Male,1,19,21.98,Two year,Bank transfer,0,417.62,21.98
220,Male,1,23,88.74,One year,Credit card,1,2041.02,88.74
221,Male,1,50,65.06,One year,Bank transfer,0,3253.0,65.06
222,Female,1,51,72.41,Two year,Bank transfer,1,3692.91,72.41
223,Female,0,43,76.17,Month-to-month,Bank transfer,0,3275.31,76.17
224,Female,0,51,93.17,One year,Mailed check,0,4751.67,93.17
225,Female,0,69,103.13,Two year,Credit card,0,7115.97,103.13000000000001
226,Male,1,41,84.63,One year,Bank transfer,1,3469.83,84.63
227,Female,0,11,76.39,Month-to-month,Electronic check,0,840.29,76.39
228,Male,1,52,57.38,One year,Electronic check,1,2983.76,57.38
229,Male,1,23,33.79,One year,Mailed check,0,777.17,33.79
230,Female,0,49,115.86,One year,Bank transfer,0,5677.14,115.86000000000001
231,Female,1,38,66.18,One year,Bank transfer,0,2514.84,66.18
232,Female,0,47,76.62,Month-to-month,Mailed check,0,3601.14,76.61999999999999
233,Female,1,7,95.11,Two year,Credit card,0,665.77,95.11
234,Female,0,66,26.84,One year,Bank transfer,0,1771.44,26.84
235,Female,1,62,105.5,Month-to-month,Bank transfer,1,6541.0,105.5
236,Female,0,29,99.7,One year,Electronic check,0,2891.3,99.7
237,Female,0,38,97.44,One year,Bank transfer,0,3702.72,97.44
238,Male,1,33,22.2,One year,Mailed check,0,732.6,22.2
239,Female,1,29,72.65,Month-to-month,Electronic check,1,2106.85,72.64999999999999
240,Female,0,23,25.43,One year,Mailed check,0,584.89,25.43
241,Male,1,3,75.09,One year,Mailed check,0,225.27,75.09
242,Female,1,45,91.84,Two year,Bank transfer,0,4132.8,91.84
243,Male,1,8,32.19,Month-to-month,Credit card,1,257.52,32.19
244,Male,0,29,89.49,Two year,Bank transfer,1,2595.21,89.49
245,Female,0,2,64.95,Two year,Credit card,1,129.9,64.95
246,Male,1,50,101.16,Two year,Electronic check,1,5058.0,101.16
247,Male,1,65,73.36,Two year,Mailed check,0,4768.4,73.36
248,Male,0,20,53.61,One year,Mailed check,0,1072.2,53.61
249,Male,1,52,53.2,Two year,Bank transfer,0,2766.4,53.2
250,Female,0,37,109.75,Month-to-month,Credit card,0,4060.75,109.75
251,Male,1,27,65.29,One year,Mailed check,0,1762.83,65.28999999999999
252,Female,1,47,60.58,Two year,Mailed check,0,2847.26,60.580000000000005
253,Male,1,6,23.99,Two year,Credit card,0,143.94,23.99
254,Male,0,60,56.43,Month-to-month,Mailed check,0,3385.8,56.43
255,Male,0,45,104.96,Month-to-month,Mailed check,0,4723.2,104.96
256,Male,0,44,96.1,Two year,Mailed check,0,4228.4,96.1
257,Female,0,18,42.09,Two year,Credit card,1,757.62,42.09
258,Female,1,65,61.31,Two year,Credit card,0,3985.15,61.31
259,Male,1,25,39.66,Two year,Electronic check,1,991.5,39.66
260,Male,0,27,115.42,Two year,Mailed check,0,3116.34,115.42
261,Female,1,7,79.81,Month-to-month,Mailed check,0,558.67,79.80999999999999
262,Male,1,44,95.44,Month-to-month,Electronic check,0,4199.36,95.44
263,Male,0,29,91.38,One year,Credit card,0,2650.02,91.38
264,Male,1,44,107.37,One year,Credit card,1,4724.28,107.36999999999999
265,Female,1,36,114.93,Month-to-month,Bank transfer,0,4137.48,114.92999999999999
266,Female,0,19,23.24,One year,Credit card,1,441.56,23.24
267,Female,1,6,117.53,Two year,Bank transfer,0,705.18,117.52999999999999
268,Male,1,25,107.05,One year,Electronic check,0,2676.25,107.05
269,Male,1,31,58.29,Two year,Credit card,0,1806.99,58.29
270,Female,0,9,103.71,Two year,Electronic check,0,933.39,103.71
271,Female,0,37,93.66,One year,Bank transfer,0,3465.42,93.66
272,Female,1,27,99.31,One year,Mailed check,0,2681.37,99.31
273,Female,1,13,42.07,Two year,Mailed check,1,546.91,42.07
274,Male,1,41,84.86,Month-to-month,Electronic check,0,3479.26,84.86
275,Female,0,66,22.59,One year,Mailed check,0,1490.94,22.59
276,Male,0,24,104.82,One year,Electronic check,1,2515.68,104.82
277,Female,0,44,115.1,Month-to-month,Bank transfer,0,5064.4,115.1
278,Male,1,60,86.21,One year,Mailed check,0,5172.6,86.21000000000001
279,Female,1,9,71.27,Two year,Bank transfer,0,641.43,71.27
280,Female,1,2,92.57,Month-to-month,Credit card,1,185.14,92.57
281,Female,1,56,52.64,Month-to-month,Mailed check,0,2947.84,52.64
282,Female,1,30,82.64,Two year,Mailed check,0,2479.2,82.64
283,Male,0,22,91.9,Two year,Mailed check,1,2021.8,91.89999999999999
284,Female,1,13,34.27,Two year,Electronic check,1,445.51,34.269999999999996
285,Male,1,71,34.01,Month-to-month,Credit card,0,2414.71,34.01
286,Male,1,16,91.61,Two year,Credit card,1,1465.76,91.61
287,Male,0,45,63.18,One year,Credit card,1,2843.1,63.18
288,Male,1,65,108.92,One year,Bank transfer,0,7079.8,108.92
289,Female,0,11,51.19,Two year,Credit card,0,563.09,51.190000000000005
290,Male,0,70,24.24,One year,Electronic check,0,1696.8,24.24
291,Male,0,20,84.99,One year,Electronic check,0,1699.8,84.99
292,Male,0,63,88.42,Month-to-month,Bank transfer,0,5570.46,88.42
293,Female,0,12,75.36,Two year,Bank transfer,0,904.32,75.36
294,Female,1,62,88.33,One year,Credit card,1,5476.46,88.33
295,Female,1,42,72.38,Two year,Credit card,0,3039.96,72.38
296,Female,0,69,89.26,Two year,Electronic check,0,6158.94,89.25999999999999
297,Male,0,58,24.39,One year,Electronic check,0,1414.62,24.389999999999997
298,Male,0,5,56.84,One year,Credit card,0,284.2,56.839999999999996
299,Female,1,27,41.08,Month-to-month,Electronic check,1,1109.16,41.080000000000005
300,Male,1,28,29.93,Month-to-month,Bank transfer,0,838.04,29.93
301,Male,0,26,43.41,Month-to-month,Electronic check,0,1128.66,43.410000000000004
302,Male,1,49,39.13,One year,Credit card,1,1917.37,39.129999999999995
303,Female,1,21,117.31,Month-to-month,Bank transfer,0,2463.51,117.31000000000002
304,Female,0,1,48.65,Two year,Electronic check,0,48.65,48.65
305,Male,0,58,43.1,Month-to-month,Bank transfer,0,2499.8,43.1
306,Female,1,55,103.49,Month-to-month,Credit card,0,5691.95,103.49
307,Female,1,26,61.91,Month-to-month,Electronic check,0,1609.66,61.910000000000004
308,Female,1,25,62.15,Two year,Credit card,0,1553.75,62.15
309,Female,0,33,64.36,Two year,Mailed check,0,2123.88,64.36
310,Female,0,69,61.65,One year,Credit card,1,4253.85,61.650000000000006
311,Male,0,6,52.66,Month-to-month,Mailed check,0,315.96,52.66
312,Female,1,23,48.63,Two year,Bank transfer,0,1118.49,48.63
313,Male,1,30,108.2,Two year,Bank transfer,0,3246.0,108.2
314,Male,0,54,36.17,Two year,Mailed check,0,1953.18,36.17
315,Female,1,11,38.11,One year,Bank transfer,0,419.21,38.11
316,Male,0,31,77.17,One year,Bank transfer,1,2392.27,77.17
317,Male,1,6,54.37,One year,Credit card,0,326.22,54.370000000000005
318,Male,0,11,62.15,Month-to-month,Mailed check,0,683.65,62.15
319,Female,1,12,100.65,Two year,Electronic check,0,1207.8,100.64999999999999
320,Female,1,66,110.36,One year,Bank transfer,0,7283.76,110.36
321,Male,0,53,99.06,One year,Bank transfer,1,5250.18,99.06
322,Female,0,36,43.49,Two year,Electronic check,1,1565.64,43.49
323,Female,0,17,118.0,Two year,Credit card,0,2006.0,118.0
324,Female,0,28,56.32,Month-to-month,Credit card,1,1576.96,56.32
325,Female,0,22,36.91,Month-to-month,Credit card,0,812.02,36.91
326,Male,1,7,69.95,Month-to-month,Electronic check,0,489.65,69.95
327,Male,0,15,92.53,One year,Credit card,1,1387.95,92.53
328,Female,0,11,28.33,One year,Bank transfer,0,311.63,28.33
329,Female,0,24,83.43,Two year,Credit card,0,2002.32,83.42999999999999
330,Male,0,67,105.81,Month-to-month,Bank transfer,0,7089.27,105.81
331,Male,0,30,46.18,Two year,Electronic check,0,1385.4,46.18
332,Female,1,70,89.31,Month-to-month,Credit card,0,6251.7,89.31
333,Male,0,66,59.99,Month-to-month,Credit card,1,3959.34,59.99
334,Female,0,61,61.41,Month-to-month,Bank transfer,0,3746.01,61.410000000000004
335,Female,0,41,48.08,Month-to-month,Electronic check,0,1971.28,48.08
336,Male,1,51,82.44,Two year,Credit card,0,4204.44,82.44
337,Male,1,44,56.1,Two year,Electronic check,0,2468.4,56.1
338,Female,0,13,103.09,One year,Bank transfer,1,1340.17,103.09
339,Female,0,12,116.29,Month-to-month,Bank transfer,1,1395.48,116.29
340,Male,1,9,113.51,Two year,Credit card,1,1021.59,113.51
341,Female,1,48,36.31,Month-to-month,Electronic check,0,1742.88,36.31
342,Male,1,49,21.42,Month-to-month,Bank transfer,1,1049.58,21.419999999999998
343,Female,0,53,63.85,One year,Electronic check,0,3384.05,63.85
344,Male,0,56,92.89,One year,Mailed check,0,5201.84,92.89
345,Male,1,40,117.75,Two year,Mailed check,1,4710.0,117.75
346,Male,0,24,98.34,Two year,Credit card,0,2360.16,98.33999999999999
347,Female,1,33,78.05,One year,Electronic check,0,2575.65,78.05
348,Female,1,23,22.64,Two year,Electronic check,1,520.72,22.64
349,Male,1,54,102.55,Two year,Bank transfer,1,5537.7,102.55
350,Female,0,53,37.71,One year,Electronic check,0,1998.63,37.71
351,Male,1,49,25.56,Month-to-month,Electronic check,1,1252.44,25.560000000000002
352,Male,1,49,105.04,Month-to-month,Bank transfer,1,5146.96,105.04
353,Female,0,60,76.63,One year,Credit card,1,4597.8,76.63000000000001
354,Female,1,65,32.86,Month-to-month,Bank transfer,0,2135.9,32.86
355,Male,0,32,58.65,Month-to-month,Mailed check,0,1876.8,58.65
356,Female,1,21,28.55,One year,Electronic check,1,599.55,28.549999999999997
357,Female,0,18,83.8,Two year,Electronic check,0,1508.4,83.80000000000001
358,Male,1,60,48.24,One year,Credit card,0,2894.4,48.24
359,Male,1,13,106.61,One year,Mailed check,0,1385.93,106.61
360,Female,1,24,55.78,Month-to-month,Electronic check,0,1338.72,55.78
361,Male,1,30,69.46,One year,Bank transfer,1,2083.8,69.46000000000001
362,Male,1,2,26.35,Month-to-month,Electronic check,0,52.7,26.35
363,Female,0,25,47.56,One year,Credit card,0,1189.0,47.56
364,Male,0,50,87.68,Two year,Bank transfer,1,4384.0,87.68
365,Male,1,14,93.63,Month-to-month,Electronic check,0,1310.82,93.63
366,Female,1,6,44.28,One year,Credit card,0,265.68,44.28
367,Female,1,30,70.38,Month-to-month,Mailed check,0,2111.4,70.38000000000001
368,Male,0,30,101.75,One year,Bank transfer,0,3052.5,101.75
369,Male,0,38,57.99,One year,Bank transfer,1,2203.62,57.989999999999995
370,Female,1,58,33.38,One year,Mailed check,0,1936.04,33.38
371,Female,0,41,63.19,Month-to-month,Bank transfer,0,2590.79,63.19
372,Female,1,57,80.06,Month-to-month,Credit card,1,4563.42,80.06
373,Female,1,36,20.74,Two year,Mailed check,0,746.64,20.74
374,Male,1,64,54.86,Two year,Electronic check,0,3511.04,54.86
375,Female,0,16,80.74,Two year,Credit card,0,1291.84,80.74
376,Female,1,14,115.19,Two year,Mailed check,1,1612.66,115.19000000000001
377,Male,1,31,60.85,One year,Electronic check,0,1886.35,60.849999999999994
378,Female,1,66,36.3,Month-to-month,Credit card,0,2395.8,36.300000000000004
379,Male,0,68,73.42,One year,Credit card,0,4992.56,73.42
380,Female,0,65,48.58,Month-to-month,Bank transfer,0,3157.7,48.58
381,Female,0,55,41.48,Month-to-month,Bank transfer,1,2281.4,41.480000000000004
382,Female,1,40,79.04,One year,Mailed check,0,3161.6,79.03999999999999
383,Male,0,25,111.59,One year,Electronic check,1,2789.75,111.59
384,Male,1,25,103.52,Month-to-month,Credit card,0,2588.0,103.52
385,Female,0,3,38.23,Two year,Credit card,1,114.69,38.23
386,Male,1,69,96.59,Two year,Mailed check,1,6664.71,96.59
387,Male,0,26,42.99,Month-to-month,Bank transfer,0,1117.74,42.99
388,Male,1,40,49.07,One year,Credit card,0,1962.8,49.07
389,Male,0,38,112.01,One year,Credit card,1,4256.38,112.01
390,Male,0,38,111.11,Month-to-month,Bank transfer,1,4222.18,111.11000000000001
391,Male,0,68,36.86,One year,Electronic check,0,2506.48,36.86
